Name,Date,Tags
Resume Tag 2,"Apr 06, 2020","Meilenstein, Plan A, Tag 2"
Resume,"Apr 09, 2020","Meilenstein, Plan A, Tag 3"
Plan B,"May 17, 2020","Meilenstein, Plan B, Tag 5"
Überprüfung Plan A,"Apr 11, 2020","Check-Up, Meilenstein, Plan A"
Finale Präsentation,"May 24, 2020","Meilenstein, Präsentation"
Resume,"Apr 10, 2020","Meilenstein, Plan A, Tag 4"
Abgabe,"Jun 12, 2020","Abgabe, Meilenstein"
Präsentation,"May 22, 2020","Meilenstein, Präsentation"
SOL Präsentation,"Jun 16, 2020","Abgabe, Meilenstein, Präsentation"
Resume Tag 1,"Apr 05, 2020","Meilenstein, Plan A, Tag 1"
